Upload Image,Brightness Threshold,Processed Image,timestamp
.gradio\flagged\Upload Image\7e8c7989720f0b525ea3\photo_2024-12-17_21-28-38.jpg,85,,2024-12-17 21:45:18.923065
.gradio\flagged\Upload Image\9e7aaa05e934333912e3\photo_2024-12-17_21-28-38.jpg,119,.gradio\flagged\Processed Image\e3c7a6f180f927813880\image.webp,2024-12-17 21:52:11.925906
